Date : 2021-08-25 18:11:26
Directory : c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0
Total : 1077 files,  76948 codes, 17749 comments, 11184 blanks, all 105881 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fp16\README.md                                                                                  | Markdown         |         18 |          1 |          6 |         25 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fp16\faster_rcnn_r50_fpn_fp16_1x_coco.py                                                        | Python           |          2 |          1 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fp16\mask_rcnn_r50_fpn_fp16_1x_coco.py                                                          | Python           |          2 |          1 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fp16\mask_rcnn_r50_fpn_fp16_dconv_c3-c5_1x_coco.py                                              | Python           |          6 |          0 |          2 |          8 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fp16\mask_rcnn_r50_fpn_fp16_mdconv_c3-c5_1x_coco.py                                             | Python           |          6 |          0 |          2 |          8 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fp16\metafile.yml                                                                               | YAML             |         53 |          0 |          4 |         57 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fp16\retinanet_r50_fpn_fp16_1x_coco.py                                                          | Python           |          2 |          1 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\README.md                                                                                   | Markdown         |         23 |          0 |          7 |         30 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\faster_rcnn_r50_fpg-chn128_crop640_50e_coco.py                                              | Python           |          8 |          0 |          2 |         10 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\faster_rcnn_r50_fpg_crop640_50e_coco.py                                                     | Python           |         47 |          0 |          2 |         49 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\faster_rcnn_r50_fpn_crop640_50e_coco.py                                                     | Python           |         65 |          3 |          1 |         69 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\mask_rcnn_r50_fpg-chn128_crop640_50e_coco.py                                                | Python           |          9 |          0 |          2 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\mask_rcnn_r50_fpg_crop640_50e_coco.py                                                       | Python           |         47 |          0 |          2 |         49 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\mask_rcnn_r50_fpn_crop640_50e_coco.py                                                       | Python           |         71 |          3 |          1 |         75 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\metafile.yml                                                                                | YAML             |         93 |          0 |          7 |        100 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\retinanet_r50_fpg-chn128_crop640_50e_coco.py                                                | Python           |          4 |          0 |          2 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fpg\retinanet_r50_fpg_crop640_50e_coco.py                                                       | Python           |         51 |          0 |          3 |         54 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\free_anchor\README.md                                                                           | Markdown         |         19 |          1 |          8 |         28 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\free_anchor\metafile.yml                                                                        | YAML             |         53 |          0 |          4 |         57 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\free_anchor\retinanet_free_anchor_r101_fpn_1x_coco.py                                           | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\free_anchor\retinanet_free_anchor_r50_fpn_1x_coco.py                                            | Python           |         22 |          0 |          1 |         23 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\free_anchor\retinanet_free_anchor_x101_32x4d_fpn_1x_coco.py                                     | Python           |         12 |          0 |          1 |         13 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fsaf\README.md                                                                                  | Markdown         |         33 |          1 |         12 |         46 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fsaf\fsaf_r101_fpn_1x_coco.py                                                                   | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fsaf\fsaf_r50_fpn_1x_coco.py                                                                    | Python           |         43 |          5 |          1 |         49 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fsaf\fsaf_x101_64x4d_fpn_1x_coco.py                                                             | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\fsaf\metafile.yml                                                                               | YAML             |         54 |          0 |          4 |         58 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\README.md                                                                                 | Markdown         |         45 |          1 |         14 |         60 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\cascade_mask_rcnn_x101_32x4d_fpn_syncbn-backbone_1x_coco.py                               | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\cascade_mask_rcnn_x101_32x4d_fpn_syncbn-backbone_dconv_c3-c5_1x_coco.py                   | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\cascade_mask_rcnn_x101_32x4d_fpn_syncbn-backbone_dconv_c3-c5_r16_gcb_c3-c5_1x_coco.py     | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\cascade_mask_rcnn_x101_32x4d_fpn_syncbn-backbone_dconv_c3-c5_r4_gcb_c3-c5_1x_coco.py      | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\cascade_mask_rcnn_x101_32x4d_fpn_syncbn-backbone_r16_gcb_c3-c5_1x_coco.py                 | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\cascade_mask_rcnn_x101_32x4d_fpn_syncbn-backbone_r4_gcb_c3-c5_1x_coco.py                  | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r101_fpn_r16_gcb_c3-c5_1x_coco.py                                               | Python           |          8 |          0 |          1 |          9 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r101_fpn_r4_gcb_c3-c5_1x_coco.py                                                | Python           |          8 |          0 |          1 |          9 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r101_fpn_syncbn-backbone_1x_coco.py                                             | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r101_fpn_syncbn-backbone_r16_gcb_c3-c5_1x_coco.py                               | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r101_fpn_syncbn-backbone_r4_gcb_c3-c5_1x_coco.py                                | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r50_fpn_r16_gcb_c3-c5_1x_coco.py                                                | Python           |          8 |          0 |          1 |          9 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r50_fpn_r4_gcb_c3-c5_1x_coco.py                                                 | Python           |          8 |          0 |          1 |          9 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r50_fpn_syncbn-backbone_1x_coco.py                                              | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r50_fpn_syncbn-backbone_r16_gcb_c3-c5_1x_coco.py                                | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_r50_fpn_syncbn-backbone_r4_gcb_c3-c5_1x_coco.py                                 | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_x101_32x4d_fpn_syncbn-backbone_1x_coco.py                                       | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_x101_32x4d_fpn_syncbn-backbone_r16_gcb_c3-c5_1x_coco.py                         | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\mask_rcnn_x101_32x4d_fpn_syncbn-backbone_r4_gcb_c3-c5_1x_coco.py                          | Python           |         11 |          0 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gcnet\metafile.yml                                                                              | YAML             |        332 |          0 |         20 |        352 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\README.md                                                                                   | Markdown         |         24 |          1 |          8 |         33 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\gfl_r101_fpn_dconv_c3-c5_mstrain_2x_coco.py                                                 | Python           |         14 |          0 |          1 |         15 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\gfl_r101_fpn_mstrain_2x_coco.py                                                             | Python           |         12 |          0 |          1 |         13 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\gfl_r50_fpn_1x_coco.py                                                                      | Python           |         55 |          2 |          1 |         58 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\gfl_r50_fpn_mstrain_2x_coco.py                                                              | Python           |         20 |          2 |          1 |         23 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\gfl_x101_32x4d_fpn_dconv_c4-c5_mstrain_2x_coco.py                                           | Python           |         17 |          0 |          1 |         18 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\gfl_x101_32x4d_fpn_mstrain_2x_coco.py                                                       | Python           |         15 |          0 |          1 |         16 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gfl\metafile.yml                                                                                | YAML             |         87 |          0 |          7 |         94 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ghm\README.md                                                                                   | Markdown         |         17 |          1 |          6 |         24 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ghm\metafile.yml                                                                                | YAML             |         68 |          0 |          5 |         73 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ghm\retinanet_ghm_r101_fpn_1x_coco.py                                                           | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ghm\retinanet_ghm_r50_fpn_1x_coco.py                                                            | Python           |         19 |          0 |          1 |         20 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ghm\retinanet_ghm_x101_32x4d_fpn_1x_coco.py                                                     | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ghm\retinanet_ghm_x101_64x4d_fpn_1x_coco.py                                                     | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\README.md                                                                                 | Markdown         |         33 |          1 |         11 |         45 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\faster_rcnn_r101_fpn_gn_ws-all_1x_coco.py                                                 | Python           |          3 |          0 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\faster_rcnn_r50_fpn_gn_ws-all_1x_coco.py                                                  | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\faster_rcnn_x101_32x4d_fpn_gn_ws-all_1x_coco.py                                           | Python           |         16 |          0 |          1 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\faster_rcnn_x50_32x4d_fpn_gn_ws-all_1x_coco.py                                            | Python           |         16 |          0 |          1 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_r101_fpn_gn_ws-all_20_23_24e_coco.py                                            | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_r101_fpn_gn_ws-all_2x_coco.py                                                   | Python           |          3 |          0 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_r50_fpn_gn_ws-all_20_23_24e_coco.py                                             | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_r50_fpn_gn_ws-all_2x_coco.py                                                    | Python           |         16 |          1 |          1 |         18 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_x101_32x4d_fpn_gn_ws-all_20_23_24e_coco.py                                      | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_x101_32x4d_fpn_gn_ws-all_2x_coco.py                                             | Python           |         16 |          1 |          1 |         18 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_x50_32x4d_fpn_gn_ws-all_20_23_24e_coco.py                                       | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\mask_rcnn_x50_32x4d_fpn_gn_ws-all_2x_coco.py                                              | Python           |         16 |          1 |          1 |         18 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn+ws\metafile.yml                                                                              | YAML             |        198 |          0 |         13 |        211 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\README.md                                                                                    | Markdown         |         23 |          1 |          8 |         32 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\mask_rcnn_r101_fpn_gn-all_2x_coco.py                                                         | Python           |          3 |          0 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\mask_rcnn_r101_fpn_gn-all_3x_coco.py                                                         | Python           |          3 |          1 |          2 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\mask_rcnn_r50_fpn_gn-all_2x_coco.py                                                          | Python           |         45 |          1 |          1 |         47 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\mask_rcnn_r50_fpn_gn-all_3x_coco.py                                                          | Python           |          3 |          1 |          2 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\mask_rcnn_r50_fpn_gn-all_contrib_2x_coco.py                                                  | Python           |         14 |          1 |          1 |         16 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\mask_rcnn_r50_fpn_gn-all_contrib_3x_coco.py                                                  | Python           |          3 |          1 |          2 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\gn\metafile.yml                                                                                 | YAML             |        112 |          0 |          7 |        119 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\grid_rcnn\README.md                                                                             | Markdown         |         26 |          1 |          9 |         36 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\grid_rcnn\grid_rcnn_r101_fpn_gn-head_2x_coco.py                                                 | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\grid_rcnn\grid_rcnn_r50_fpn_gn-head_1x_coco.py                                                  | Python           |          9 |          2 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\grid_rcnn\grid_rcnn_r50_fpn_gn-head_2x_coco.py                                                  | Python           |        127 |          4 |          1 |        132 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\grid_rcnn\grid_rcnn_x101_32x4d_fpn_gn-head_2x_coco.py                                           | Python           |         21 |          2 |          1 |         24 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\grid_rcnn\grid_rcnn_x101_64x4d_fpn_gn-head_2x_coco.py                                           | Python           |         12 |          0 |          1 |         13 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\grid_rcnn\metafile.yml                                                                          | YAML             |         68 |          0 |          5 |         73 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\groie\README.md                                                                                 | Markdown         |         47 |          1 |         18 |         66 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\groie\faster_rcnn_r50_fpn_groie_1x_coco.py                                                      | Python           |         24 |          1 |          1 |         26 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\groie\grid_rcnn_r50_fpn_gn-head_groie_1x_coco.py                                                | Python           |         44 |          1 |          1 |         46 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\groie\mask_rcnn_r101_fpn_syncbn-backbone_r4_gcb_c3-c5_groie_1x_coco.py                          | Python           |         44 |          1 |          1 |         46 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\groie\mask_rcnn_r50_fpn_groie_1x_coco.py                                                        | Python           |         44 |          1 |          1 |         46 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\groie\mask_rcnn_r50_fpn_syncbn-backbone_r4_gcb_c3-c5_groie_1x_coco.py                           | Python           |         44 |          1 |          1 |         46 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\groie\metafile.yml                                                                              | YAML             |         83 |          0 |          6 |         89 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\README.md                                                                      | Markdown         |         37 |          1 |         12 |         50 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_fast_r50_caffe_fpn_1x_coco.py                                               | Python           |         62 |          1 |          1 |         64 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_faster_r101_caffe_fpn_1x_coco.py                                            | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_faster_r50_caffe_fpn_1x_coco.py                                             | Python           |         64 |          1 |          1 |         66 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_faster_r50_fpn_1x_coco.py                                                   | Python           |         64 |          1 |          1 |         66 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_faster_x101_32x4d_fpn_1x_coco.py                                            | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_faster_x101_64x4d_fpn_1x_coco.py                                            | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_retinanet_r101_caffe_fpn_1x_coco.py                                         | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_retinanet_r101_caffe_fpn_mstrain_2x.py                                      | Python           |        157 |          9 |          2 |        168 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_retinanet_r50_caffe_fpn_1x_coco.py                                          | Python           |         61 |          1 |          1 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_retinanet_r50_fpn_1x_coco.py                                                | Python           |         61 |          1 |          1 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_retinanet_x101_32x4d_fpn_1x_coco.py                                         | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_retinanet_x101_64x4d_fpn_1x_coco.py                                         | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_rpn_r101_caffe_fpn_1x_coco.py                                               | Python           |          4 |          1 |          1 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_rpn_r50_caffe_fpn_1x_coco.py                                                | Python           |         57 |          1 |          1 |         59 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_rpn_r50_fpn_1x_coco.py                                                      | Python           |         57 |          1 |          1 |         59 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_rpn_x101_32x4d_fpn_1x_coco.py                                               | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\ga_rpn_x101_64x4d_fpn_1x_coco.py                                               | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\guided_anchoring\metafile.yml                                                                   | YAML             |        117 |          0 |          9 |        126 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\README.md                                                                                 | Markdown         |         68 |          1 |         20 |         89 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\cascade_mask_rcnn_hrnetv2p_w18_20e_coco.py                                                | Python           |          9 |          1 |          1 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\cascade_mask_rcnn_hrnetv2p_w32_20e_coco.py                                                | Python           |         38 |          1 |          1 |         40 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\cascade_mask_rcnn_hrnetv2p_w40_20e_coco.py                                                | Python           |         10 |          1 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\cascade_rcnn_hrnetv2p_w18_20e_coco.py                                                     | Python           |          9 |          1 |          1 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\cascade_rcnn_hrnetv2p_w32_20e_coco.py                                                     | Python           |         38 |          1 |          1 |         40 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\cascade_rcnn_hrnetv2p_w40_20e_coco.py                                                     | Python           |         10 |          1 |          1 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\faster_rcnn_hrnetv2p_w18_1x_coco.py                                                       | Python           |          9 |          1 |          1 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\faster_rcnn_hrnetv2p_w18_2x_coco.py                                                       | Python           |          3 |          1 |          2 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\faster_rcnn_hrnetv2p_w32_1x_coco.py                                                       | Python           |         36 |          0 |          1 |         37 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\faster_rcnn_hrnetv2p_w32_2x_coco.py                                                       | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\faster_rcnn_hrnetv2p_w40_1x_coco.py                                                       | Python           |         10 |          0 |          1 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\faster_rcnn_hrnetv2p_w40_2x_coco.py                                                       | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\fcos_hrnetv2p_w18_gn-head_4x4_1x_coco.py                                                  | Python           |          9 |          0 |          1 |         10 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\fcos_hrnetv2p_w18_gn-head_4x4_2x_coco.py                                                  | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\fcos_hrnetv2p_w18_gn-head_mstrain_640-800_4x4_2x_coco.py                                  | Python           |          9 |          0 |          1 |         10 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\fcos_hrnetv2p_w32_gn-head_4x4_1x_coco.py                                                  | Python           |         69 |          0 |          1 |         70 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\fcos_hrnetv2p_w32_gn-head_4x4_2x_coco.py                                                  | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\fcos_hrnetv2p_w32_gn-head_mstrain_640-800_4x4_2x_coco.py                                  | Python           |         38 |          1 |          1 |         40 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\fcos_hrnetv2p_w40_gn-head_mstrain_640-800_4x4_2x_coco.py                                  | Python           |         10 |          0 |          1 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\htc_hrnetv2p_w18_20e_coco.py                                                              | Python           |          9 |          0 |          1 |         10 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\htc_hrnetv2p_w32_20e_coco.py                                                              | Python           |         36 |          0 |          1 |         37 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\htc_hrnetv2p_w40_20e_coco.py                                                              | Python           |         10 |          0 |          1 |         11 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\htc_hrnetv2p_w40_28e_coco.py                                                              | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\htc_x101_64x4d_fpn_16x1_28e_coco.py                                                       | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\mask_rcnn_hrnetv2p_w18_1x_coco.py                                                         | Python           |          9 |          0 |          1 |         10 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\mask_rcnn_hrnetv2p_w18_2x_coco.py                                                         | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\mask_rcnn_hrnetv2p_w32_1x_coco.py                                                         | Python           |         36 |          0 |          1 |         37 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\hrnet\mask_rcnn_hrnetv2p_w32_2x_coco.py                                                         | Python           |          3 |          1 |          1 |          5 |
